1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:18.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:2.0	4:1.0	5:1.0	6:0.0	7:0.0	8:7.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:12.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:21.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:14.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:40.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:14.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:14.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:15.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:13.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:14.0
1:13.0	2:1.0	3:0.0	4:0.0	5:0.0	6:1.0	7:0.0	8:2.0
