1:0.0	2:0.0	3:20.0
1:0.0	2:0.0	3:30.0
1:0.0	2:20.0	3:0.0
1:0.0	2:0.0	3:20.0
1:0.0	2:0.0	3:40.0
1:18.0	2:0.0	3:0.0
1:0.0	2:0.0	3:11.0
1:0.0	2:0.0	3:40.0
1:0.0	2:12.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:21.0	3:0.0
1:0.0	2:0.0	3:20.0
1:0.0	2:0.0	3:14.0
1:0.0	2:0.0	3:40.0
1:0.0	2:0.0	3:14.0
1:0.0	2:0.0	3:14.0
1:0.0	2:15.0	3:0.0
1:0.0	2:0.0	3:15.0
1:0.0	2:0.0	3:14.0
1:0.0	2:0.0	3:13.0
1:0.0	2:0.0	3:14.0
1:0.0	2:0.0	3:17.0
1:0.0	2:30.0	3:0.0
1:0.0	2:0.0	3:16.0
1:0.0	2:0.0	3:17.0
1:0.0	2:40.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:62.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:19.0	3:0.0
1:0.0	2:23.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:0.0	3:40.0
1:0.0	2:20.0	3:0.0
1:0.0	2:0.0	3:40.0
1:0.0	2:30.0	3:0.0
1:0.0	2:0.0	3:10.0
1:0.0	2:10.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:10.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:0.0	3:34.0
1:0.0	2:11.0	3:0.0
1:0.0	2:17.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:0.0	3:15.0
1:0.0	2:0.0	3:19.0
1:0.0	2:0.0	3:18.0
1:0.0	2:19.0	3:0.0
1:0.0	2:13.0	3:0.0
1:0.0	2:0.0	3:14.0
1:0.0	2:17.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:19.0	3:0.0
1:0.0	2:0.0	3:40.0
1:0.0	2:0.0	3:20.0
1:0.0	2:30.0	3:0.0
